8177_task,stage,node,source_8175_tasks,mapping_type,inherited_sols,justification
8177-49,Stage3,Market economics,"8175-100, 8175-101, 8175-98, 8175-99",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-50,Stage3,Market economics,"8175-100, 8175-101, 8175-98, 8175-99",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-51,Stage3,Market economics,"8175-100, 8175-101, 8175-98, 8175-99",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-52,Stage1,Business structure,"8175-68, 8175-69",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-53,Stage1,Business structure,"8175-68, 8175-69",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-58,Stage5,Customer service,"8175-52, 8175-53, 8175-54, 8175-55",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-59,Stage5,Customer service,"8175-52, 8175-53, 8175-54, 8175-55",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-60,Stage5,Customer service,"8175-52, 8175-53, 8175-54, 8175-55",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-61,Stage5,Customer service,"8175-52, 8175-53, 8175-54, 8175-55",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-62,Stage5,Customer service,"8175-52, 8175-53, 8175-54, 8175-55",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-63,Stage5,Rules / Legal / Ethics,"8175-51, 8175-56, 8175-57, 8175-58, 8175-59, 8175-86",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-64,Stage5,Rules / Legal / Ethics,"8175-51, 8175-56, 8175-57, 8175-58, 8175-59, 8175-86",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-65,Stage5,Rules / Legal / Ethics,"8175-51, 8175-86",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-66,Stage5,Rules / Legal / Ethics,"8175-51, 8175-86",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-69,Stage2,Product / Branding,"8175-56, 8175-57, 8175-58, 8175-59",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-70,Stage2,Product / Branding,"8175-56, 8175-57, 8175-58, 8175-59",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-71,Stage2,Product / Branding,"8175-56, 8175-57, 8175-58, 8175-59",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-72,Stage2,Product / Branding,"8175-56, 8175-57, 8175-58, 8175-59",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-73,Stage2,Product / Branding,"8175-56, 8175-57, 8175-58, 8175-59",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-74,Stage2,Product / Branding,"8175-56, 8175-57, 8175-58, 8175-59",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-75,Stage2,Product / Branding,"8175-56, 8175-57, 8175-58, 8175-59",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-76,Stage2,Product / Branding,"8175-56, 8175-57, 8175-58, 8175-59",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
8177-97,Stage8,Strategy / Marketing plan synthesis,"8175-102, 8175-103, 8175-104, 8175-105",PARALLEL_TRANSITIVE,"English: 10.C, 10.RI, 10.RV, 11.C, 11.DSR, 11.LU, 11.RI, 11.RV, 12.C, 12.LU, 12.RI, 12.RV","Parallel unit — same concept, same lesson, both courses"
